letra;pregunta;respuesta;categoria;dificultad;puntaje;estado;fallos
A;Empieza con A. Director de 'Psicosis'.;Alfred Hitchcock;cine;dificil;20;sin responder;0
A;Empieza con A. Cantante de 'Rolling in the Deep'.;Adele;musica;dificil;20;sin responder;0
B;Empieza con B. Apellido de un actor y productor cinematrografico escocés, conocido por su papel en la pelicula ´300´.;Butler;cine;dificil;20;sin responder;0
B;Empieza con B. Forma musical popular surgida entre la población afroamericana del sur de los Estados Unidos de América, que se caracteriza por su ritmo lento y su tono melancólico;Blues;musica;dificil;20;sin responder;0
C;Empieza con C. Película de terror argentina de 2023 dirigida por Demián Rugna.;Cuando acecha la maldad;cine;dificil;20;sin responder;0
C;Empieza con C. Estilo musical que mezcla rap y electrónica.;Crunk;musica;dificil;20;sin responder;0
D;Contiene D. Apellido del protagonista de 'Deadpool'.;Reynolds;cine;dificil;20;sin responder;0
D;Empieza con D. Estilo jamaicano precursor del reggae.;Dub;musica;dificil;20;sin responder;0
E;Empieza con E. Nombre del protagonista de 'El hobbit'.;Elijah Wood;cine;dificil;20;sin responder;0
E;Empieza con E. Cantante de 'Shape of You'.;Ed Sheeran;musica;dificil;20;sin responder;0
F;Empieza con F. Protagonista de la película 'Sueño de Fuga'.;Morgan Freeman;cine;dificil;20;sin responder;0
F;Empieza con F. Género electrónico francés de los 90.;French house;musica;dificil;20;sin responder;0
G;Empieza con G. Película ambientada en el Imperio Romano.;Gladiador;cine;dificil;20;sin responder;0
G;Contiene G. Cantante de 'Bad Romance'.;Lady Gaga;musica;dificil;20;sin responder;0
H;Empieza con H. Protagonista de las películas 'Cómo entrenar a tu dragón'.;Hipo;cine;dificil;20;sin responder;0
H;Empieza con H. Cantante de One Direction.;Harry Styles;musica;dificil;20;sin responder;0
I;Empieza con I. Nombre en ingles de película animada de Pixar sobre emociones.;Inside Out;cine;dificil;20;sin responder;0
I;Empieza con I. Cantante de la canción 'The Passenger'.;Iggy Pop;musica;dificil;20;sin responder;0
J;Empieza con J. Película de un niño en la Segunda Guerra Mundial.;Jojo Rabbit;cine;dificil;20;sin responder;0
J;Empieza con J. Canción de la banda de rock argentino Patricio Rey y sus Redonditos de Ricota.;Ji Ji Ji;musica;dificil;20;sin responder;0
K;Empieza con K. Película sobre una asesina que busca venganza.;Kill Bill;cine;dificil;20;sin responder;0
K;Empieza con K. Cantante de 'United In Grief''.;Kendrick Lamar;musica;dificil;20;sin responder;0
L;Empieza con L. Musical protagonizado por Emma Stone y Ryan Gosling.;La la land;cine;dificil;20;sin responder;0
L;Empieza con L. Cantante de 'Bad Romance'.;Lady Gaga;musica;dificil;20;sin responder;0
M;Empieza con M. Película de ciencia ficción protagonizada por Keanu Reeves.;Matrix;cine;dificil;20;sin responder;0
M;Empieza con M. Banda italiana que ganó Eurovisión 2021.;Maneskin;musica;dificil;20;sin responder;0
N;Empieza con N. Pelicula donde un hombre queda atrapado en una isla.;Naufrago;cine;dificil;20;sin responder;0
N;Empieza con N. Integrante de la banda 'Oasis'.;Noel Gallagher;musica;dificil;20;sin responder;0
O;Empieza con O. Pelicula bibliografica sobre el fisico conocido como el padre de la bomba atomica;Oppenheimer;cine;dificil;20;sin responder;0
O;Empieza con O. Canción de la banda 'Red Hot Chili Peppers';Otherside;musica;dificil;20;sin responder;0
P;Contiene P. Apellido del protagonista de 'Piratas del Caribe'.;Depp;cine;dificil;20;sin responder;0
P;Empieza con P. Cantante de 'Purple Rain'.;Prince;musica;dificil;20;sin responder;0
Q;Empieza con Q. Banda sobre la que hizo la pelicula 'Bohemian Rhapsody';Queen;cine;dificil;20;sin responder;0
Q;Empieza con Q. Banda liderada por Freddie Mercury.;Queen;musica;dificil;20;sin responder;0
R;Empieza con R. Director de 'Volver al futuro'.;Robert Zemeckis;cine;dificil;20;sin responder;0
R;Empieza con R. Banda de rock estadounidense conocidos por 'Blitzkrieg Bop'.;Ramones;musica;dificil;20;sin responder;0
S;Empieza con S. Apellido del protagonista de 'Skyfall'.;Silva;cine;dificil;20;sin responder;0
S;Empieza con S. Cantante argentino de 'Seguir viviendo sin tu amor'.;Spinetta;musica;dificil;20;sin responder;0
T;Empieza con T. Director de 'Pulp Fiction'.;Tarantino;cine;dificil;20;sin responder;0
T;Empieza con T. Banda conocida por la cancion Boys Dont Cry;The Cure;musica;dificil;20;sin responder;0
U;Empieza con U. Película de Sci-Fi con Keanu Reeves.;UltraViolet;cine;dificil;20;sin responder;0
U;Empieza con U. Famosa cancion de Billy Joel;Uptown Girl;musica;dificil;20;sin responder;0
V;Contiene V. Saga de película de superhéroes.;Los Vengadores;cine;dificil;20;sin responder;0
V;Empieza con V. Famosa Cancion de Billy Joel.;Vienna;musica;dificil;20;sin responder;0
W;Empieza con W. Apellido del protagonista de 'Deadpool'.;Wilson;cine;dificil;20;sin responder;0
W;Empieza con W. Cantante de 'I Wanna Dance with Somb'.;Whitney Houston;musica;dificil;20;sin responder;0
X;Empieza con X. Saga de mutantes con Wolverine.;X-Men;cine;dificil;20;sin responder;0
X;Empieza por X. Banda japonesa de rock.;X Japan;musica;dificil;20;sin responder;0
Y;Empieza con Y. Maestro Jedi de pequeña estatura.;Yoda;cine;dificil;20;sin responder;0
Y;Empieza con Y. Canción de 'The Beatles';Yesterday;musica;dificil;20;sin responder;0
Z;Empieza con Z. Enmascarado que usa espada.;Zorro;cine;dificil;20;sin responder;0
Z;Empieza con Z. DJ famoso por 'Clarity'.;Zedd;musica;dificil;20;sin responder;0
