letra;pregunta;respuesta;categoria;dificultad;puntaje;estado;fallos;fallos
A;Empieza con A. Se fue al País de las Maravillas.;Alicia;cine;facil;10;sin responder;0;0
A;Empieza con A. Cantante británica de 'Someone Like You'.;Adele;musica;facil;10;sin responder;0;0
B;Empieza con B. Película sobre un bailarín de ballet basada en hechos reales.;Billy Elliot;cine;facil;10;sin responder;0;0
B;Empieza con B. Instrumento de percusión usado en bandas musicales.;Bateria;musica;facil;10;sin responder;0;0
C;Empieza con C. Princesa que pierde su zapato.;Cenicienta;cine;facil;10;sin responder;0;0
C;Empieza con C. Estilo musical colombiano muy bailable.;Cumbia;musica;facil;10;sin responder;0;0
D;Empieza con D. Apellido del actor que interpreta a Iron Man.;Downey;cine;facil;10;sin responder;0;0
D;Empieza con D. Dúo francés de eléctronica y rock principalmente.;Daft Punk;musica;facil;10;sin responder;0;0
E;Empieza con E. Extraterrestre más famoso del cine.;ET;cine;facil;10;sin responder;0;0
E;Empieza con E. Rapero estadounidense también se apoda como 'Slim Shady'.;Eminem;musica;facil;10;sin responder;0;0
F;Empieza con F. Nombre del hobbit protagonista de El Señor de los Anillos.;Frodo;cine;facil;10;sin responder;0;0
F;Empieza con F. Estilo musical electrónico bailable.;Funk;musica;facil;10;sin responder;0;0
G;Empieza con G. Creador de la saga 'Star Wars'.;George Lucas;cine;facil;10;sin responder;0;0
G;Empieza con G. Instrumento de cuerda.;Guitarra;musica;facil;10;sin responder;0;0
H;Empieza con H. Saga de películas sobre magos.;Harry Potter;cine;facil;10;sin responder;0;0
H;Empieza con H. Genero musical con el que se relaciona el rap.;Hip Hop;musica;facil;10;sin responder;0;0
I;Empieza con I. Pelíucla animada sobre emociones.;Intensamente;cine;facil;10;sin responder;0;0
I;Empieza con I. Famosa cancion de la banda Goo Goo Dolls.;Iris;musica;facil;10;sin responder;0;0
J;Empieza con J. Saga de películas sobre dinosaurios.;Jurassic Park;cine;facil;10;sin responder;0;0
J;Empieza con J. Guitarrista de la banda 'The Beatles'.;John Lennon;musica;facil;10;sin responder;0;0
K;Empieza con K. Película animada sobre un arte marcial.;Kung Fu Panda;cine;facil;10;sin responder;0;0
K;Empieza con K. Rapero estadounidense;Kayne;musica;facil;10;sin responder;0;0
L;Empieza con L. Archienemigo de Superman.;Lex Luthor;cine;facil;10;sin responder;0;0
L;Empieza con L. Banda de rock conocida por 'Stairway to Heaven'.;Led Zeppelin;musica;facil;10;sin responder;0;0
M;Empieza con M. Unión de tomas y secuencias.;Montaje;cine;facil;10;sin responder;0;0
M;Empieza con M. Nombre del cantante de 'Thriller';Michael;musica;facil;10;sin responder;0;0
N;Empieza con N. Nombre del protagonista de 'Matrix'.;Neo;cine;facil;10;sin responder;0;0
N;Empieza con N. Banda con logo de una carita con 'x' en los ojos.;Nirvana;musica;facil;10;sin responder;0;0
O;Empieza con O. Mago cuyo mundo lleva su mismo nombre.;Oz;cine;facil;10;sin responder;0;0
O;Empieza con O. Banda inglesa famosa por 'Wonderwall'.;Oasis;musica;facil;10;sin responder;0;0
P;Empieza con P. Nombre del niño que vive en la isla de Nunca Jamás.;Peter Pan;cine;facil;10;sin responder;0;0
P;Empieza con P. Banda con un album representado con un triángulo y un arcoiris.;Pink Floyd;musica;facil;10;sin responder;0;0
Q;Empieza con Q. Personaje de Disney de la película 'El jorobado de Notre Dame'.;Quasimodo;cine;facil;10;sin responder;0;0
Q;Empieza con Q. Banda británica liderada por Freddie Mercury.;Queen;musica;facil;10;sin responder;0;0
R;Empieza con R. Saga de películas sobre autos y robos.;Rapidos y furiosos;cine;facil;10;sin responder;0;0
R;Empieza con R. Cantante famosa por 'Umbrella'.;Rihanna;musica;facil;10;sin responder;0;0
S;Empieza con S. Famoso detective privado.;Sherlock Holmes;cine;facil;10;sin responder;0;0
S;Empieza con S. Banda argentina liderada por Gustavo Cerati.;Soda Stereo;musica;facil;10;sin responder;0;0
T;Empieza con T. Película cuyos protagonistas se llaman Jack y Rose;Titanic;cine;facil;10;sin responder;0;0
T;Empieza con T. Banda inglesa de rock alternativo con un álbum llamado 'Hatful of Hollow'.;The Smiths;musica;facil;10;sin responder;0;0
U;Empieza con U. Nombre de la villan de La Sirenita;Ursula;cine;facil;10;sin responder;0;0
U;Empieza con U. Cancion de Bruno Mars.;Uptown Funk;musica;facil;10;sin responder;0;0
V;Empieza con V. Actor famoso por su papel en la saga rapido y furioso.;Vin diesel;cine;facil;10;sin responder;0;0
V;Empieza con V. Famosa cancion de Olivia Rodrigo.;Vampire;musica;facil;10;sin responder;0;0
W;Empieza con W. Dueño de la fábrica de chocolates.;Willy Wonka;cine;facil;10;sin responder;0;0
W;Contiene W. Cantante quien tiene un álbum llamado 'After Hours'.;The Weeknd;musica;facil;10;sin responder;0;0
X;Empieza con X. Película de mutantes famosos.;X-Men;cine;facil;10;sin responder;0;0
X;Contiene X. Instrumento musical de viento usado en jazz.;Saxofon;musica;facil;10;sin responder;0;0
Y;Empieza con Y. Maestro jedi de estatura pequeña y color verde.;Yoda;cine;facil;10;sin responder;0;0
Y;Empieza con Y. Nombre de la cancion con mas reproducciones de la banda Coldplay;Yellow;musica;facil;10;sin responder;0;0
Z;Empieza con Z. Nombre del enemigo de Buzz Lightyear.;Zurg;cine;facil;10;sin responder;0;0
Z;Empieza con Z. Canción con más reproducciones de la banda 'La Vela Puerca'.;Zafar;musica;facil;10;sin responder;0;0
